=AudioQuery=	スピーカーID	速度	音程	抑揚	音量		
	3	1.0	0.0	1.0	1.0		
=Moras=	文字	アクセント	子音	子音長	母音	母音長	音程
	ズ		z	0.127	u	0.113	5.808
	ン	!			N	0.093	6.105
	ダ		d	0.043	a	0.095	6.042
	モ		m	0.072	o	0.12	5.863
	ン				N	0.068	5.703
	ノ		n	0.039	o	0.09	5.556
=Moras=	文字	アクセント	子音	子音長	母音	母音長	音程
	ノ		n	0.064	o	0.085	5.511
	オ				o	0.087	5.785
	マ	!	m	0.068	a	0.094	5.918
	ル		r	0.033	u	0.067	5.948
	ノ		n	0.067	o	0.099	5.763
=Moras=	文字	アクセント	子音	子音長	母音	母音長	音程
	オ				o	0.132	5.823
	ン	!			N	0.084	6.025
	セ		s	0.075	e	0.085	6.031
	エ				e	0.076	5.864
	デ		d	0.051	e	0.124	5.692
	ス		s	0.082	U	0.097	0.0
=AudioQuery=	スピーカーID	速度	音程	抑揚	音量		
	1	1.0	0.0	1.0	1.0		
=Moras=	文字	アクセント	子音	子音長	母音	母音長	音程
	ズ		z	0.143	u	0.119	5.836
	ン	!			N	0.103	6.132
	ダ		d	0.047	a	0.119	6.057
	モ		m	0.082	o	0.126	5.862
	ン				N	0.076	5.681
	ノ		n	0.05	o	0.108	5.524
=Moras=	文字	アクセント	子音	子音長	母音	母音長	音程
	ア				a	0.098	5.443
	マ		m	0.079	a	0.1	5.555
	ア				a	0.097	5.846
	マ		m	0.063	a	0.094	5.925
	ノ		n	0.067	o	0.104	5.988
=Moras=	文字	アクセント	子音	子音長	母音	母音長	音程
	オ				o	0.136	6.063
	ン	!			N	0.089	6.182
	セ		s	0.079	e	0.107	6.157
	エ				e	0.093	6.006
	デ		d	0.053	e	0.158	5.804
	ス		s	0.083	U	0.117	0.0
=AudioQuery=	スピーカーID	速度	音程	抑揚	音量		
	22	1.0	0.0	1.0	1.0		
=Moras=	文字	アクセント	子音	子音長	母音	母音長	音程
	ズ		z	0.062	u	0.101	0.183
	ン	!			N	0.084	0.056
	ダ		d	0.027	a	0.076	0.004
	モ		m	0.069	o	0.1	-0.014
	ン				N	0.057	-0.022
	ノ		n	0.047	o	0.062	-0.025
=Moras=	文字	アクセント	子音	子音長	母音	母音長	音程
	サ		s	0.072	a	0.064	-0.027
	サ		s	0.07	a	0.065	-0.024
	ヤ		y	0.048	a	0.069	-0.022
	キ		k	0.106	i	0.056	-0.014
	ノ		n	0.063	o	0.082	-0.012
=Moras=	文字	アクセント	子音	子音長	母音	母音長	音程
	オ				o	0.118	-0.019
	ン	!			N	0.068	-0.022
	セ		s	0.086	e	0.055	-0.026
	エ				e	0.099	-0.037
	デ		d	0.044	e	0.09	-0.054
	ス		s	0.153	U	0.071	0.0